filepath,status
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_decode_num_out_p8_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bp_fe_lce_req_data_width_p64_paddr_width_p22_num_cce_p1_num_lce_p2_sets_p64_ways_p8_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mem_1r1w_synth_width_p99_els_p2_read_write_same_addr_p0_harden_p0_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_one_hot_width_p136_els_p5_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mem_1r1w_synth_width_p131_els_p2_read_write_same_addr_p0_harden_p0_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bp_fe_lce_data_cmd_data_width_p64_paddr_width_p22_lce_data_width_p512_num_cce_p1_num_lce_p2_sets_p64_ways_p8_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_width_p136_els_p4_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bp_me_network_pkt_encode_data_cmd_num_lce_p2_lce_assoc_p8_block_size_in_bits_p512_max_num_flit_p4_x_cord_width_p1_y_cord_width_p1_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bp_cce_inst_decode_inst_width_p96_inst_addr_width_p8_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_swap_width_p128_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_one_hot_width_p99_els_p4_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_dff_width_p45_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_dff_reset_en_width_p222_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_one_hot_width_p28_els_p5_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mem_1r1w_synth_width_p58_els_p2_read_write_same_addr_p0_harden_p0_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mem_2r1w_sync_synth_width_p64_els_p32_read_write_same_addr_p1_harden_p0_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mux_width_p131_els_p4_speed.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_scan_width_p8_or_p1_lo_to_hi_p1_area.sh,Successful
currentResearch/llm_ppa_predictor/synthesis_designs/bp_multi_top/synth_bsg_mem_1r1w_synth_width_p136_els_p2_read_write_same_addr_p0_harden_p0_speed.sh,Successful
